rel_ms,value_mv,normalized
0.0,0.03615091,0.13433670
3.90625,0.03048130,0.21766327
7.8125,0.07371420,0.27423248
11.71875,0.05532442,0.29057115
15.625,0.03941501,0.28204411
19.53125,0.04543403,0.27241185
23.4375,0.05617191,0.26652154
27.34375,0.05951153,0.24993941
31.25,0.03157218,0.21118659
35.15625,0.05023742,0.15686089
39.0625,0.01792871,0.10601667
42.96875,0.01649107,0.07102288
46.875,0.02704632,0.04232458
50.78125,0.02746544,-0.00400496
54.6875,-0.00395154,-0.08096111
58.59375,-0.01655348,-0.17783369
62.5,-0.00712688,-0.27183485
66.40625,-0.04400071,-0.34514147
70.3125,-0.03560430,-0.39296156
74.21875,-0.04269406,-0.42328566
78.125,-0.03846816,-0.44912612
82.03125,-0.05044468,-0.47744563
85.9375,-0.05891063,-0.50493091
89.84375,-0.04819731,-0.52332771
93.75,-0.06711115,-0.52690816
97.65625,-0.04005486,-0.51476616
101.5625,-0.05244380,-0.48656386
105.46875,-0.04831981,-0.43825024
109.375,-0.03351516,-0.36585552
113.28125,-0.01919471,-0.27322453
117.1875,-0.00108449,-0.17231078
121.09375,-0.00156199,-0.07609010
125.0,0.02055816,0.00699348
128.90625,0.03397327,0.07483125
132.8125,0.03101946,0.13119678
136.71875,0.02968496,0.18017538
140.625,0.06054450,0.21963045
144.53125,0.05947062,0.24526174
148.4375,0.03584191,0.25929299
152.34375,0.05266212,0.26689640
156.25,0.06766734,0.26758757
160.15625,0.04899562,0.25937986
164.0625,0.05488308,0.24711181
167.96875,0.03827094,0.23773719
171.875,0.05771336,0.22955199
175.78125,0.04832343,0.21176082
179.6875,0.03878998,0.17357831
183.59375,0.04428468,0.11150014
187.5,0.01221766,0.02975754
191.40625,0.00213954,-0.06453082
195.3125,0.01898108,-0.16524488
199.21875,-0.03141790,-0.26408258
203.125,-0.01695115,-0.34723684
207.03125,-0.05040163,-0.40268993
210.9375,-0.03944210,-0.43186611
214.84375,-0.02303238,-0.44906083
218.75,-0.04959559,-0.46734229
222.65625,-0.06468053,-0.48995715
226.5625,-0.02742130,-0.51507914
230.46875,-0.06118868,-0.53763276
234.375,-0.05381972,-0.54372811
238.28125,-0.04252272,-0.51386666
242.1875,-0.05541762,-0.43882409
246.09375,-0.01756785,-0.33277664
250.0,-0.00193227,-0.22743553
253.90625,-0.00172516,-0.14895944
257.8125,0.00427228,-0.10112851
261.71875,0.00991855,-0.07007427
265.625,0.03366120,-0.03775932
269.53125,-0.00391595,0.00947480
273.4375,0.04246629,0.07523099
277.34375,0.05601322,0.15214568
281.25,0.03670504,0.22926351
285.15625,0.07161371,0.29780984
289.0625,0.06912655,0.35062414
