rel_ms,value_mv,normalized
0.0,0.00150876,-0.19768901
3.90625,-0.00146254,-0.33046880
7.8125,0.00793050,-0.39917558
11.71875,0.00162694,-0.40438727
15.625,-0.00593721,-0.37334117
19.53125,0.00495264,-0.33965054
23.4375,0.01638415,-0.32855403
27.34375,0.01222374,-0.34665430
31.25,-0.00746347,-0.38083667
35.15625,-0.01408115,-0.41151926
39.0625,-0.00625288,-0.42895469
42.96875,0.00184479,-0.43585294
46.875,-0.02642908,-0.43795839
50.78125,-0.00103185,-0.43729860
54.6875,-0.01323499,-0.43242893
58.59375,-0.00694903,-0.42044160
62.5,-0.00457076,-0.39976633
66.40625,-0.00171317,-0.37362322
70.3125,0.00714401,-0.34981680
74.21875,0.01483653,-0.33552739
78.125,0.00090580,-0.33229068
82.03125,0.01896752,-0.33600056
85.9375,-0.00529072,-0.34115499
89.84375,0.00703129,-0.34591433
93.75,0.01377625,-0.35367167
97.65625,0.00418409,-0.36794418
101.5625,-0.00574483,-0.38584903
105.46875,-0.00776244,-0.39946419
109.375,-0.00207347,-0.40348998
113.28125,0.00618243,-0.39873537
117.1875,-0.00845462,-0.38845554
121.09375,0.00127127,-0.37500915
125.0,0.00199111,-0.36129367
128.90625,0.01051224,-0.35227701
132.8125,0.00671814,-0.35185173
136.71875,0.00852668,-0.35771042
140.625,-0.00346392,-0.36143425
144.53125,0.00294631,-0.35616341
148.4375,0.01402887,-0.34324598
152.34375,0.02266164,-0.32873869
156.25,-0.01024918,-0.31646857
160.15625,0.02314564,-0.30926111
164.0625,0.02124782,-0.31166574
167.96875,0.01459162,-0.32286146
171.875,0.00850772,-0.33000296
175.78125,0.00168535,-0.31796676
179.6875,0.02306664,-0.28766152
183.59375,0.02921125,-0.25995114
187.5,0.02742531,-0.25841132
191.40625,0.02170426,-0.28865662
195.3125,0.01032868,-0.33430815
199.21875,-0.00834283,-0.37150475
203.125,0.00622019,-0.38665900
207.03125,0.01426775,-0.38128993
210.9375,-0.00895411,-0.36493111
214.84375,0.01136364,-0.34949055
218.75,0.01189626,-0.34683278
222.65625,0.01520596,-0.36162814
226.5625,-0.00724053,-0.38483539
230.46875,-0.00085607,-0.39993683
234.375,0.00196294,-0.39727521
238.28125,-0.00672075,-0.38081786
242.1875,0.02830791,-0.36152467
246.09375,0.00160696,-0.34549272
250.0,0.01163485,-0.33051729
253.90625,0.00472594,-0.31562135
257.8125,0.02699302,-0.30969816
261.71875,0.02403281,-0.32348844
265.625,0.01604123,-0.35223615
269.53125,-0.01766255,-0.37378109
273.4375,0.00987211,-0.36965570
277.34375,0.01810949,-0.34464282
281.25,0.02287806,-0.32094911
285.15625,0.00470745,-0.31582037
289.0625,0.03576319,-0.32651514
292.96875,0.00044941,-0.33296171
296.875,0.01151179,-0.31475341
300.78125,0.03472161,-0.26968569
304.6875,0.02914749,-0.21640742
308.59375,0.05871877,-0.17812775
312.5,0.04415541,-0.16350968
316.40625,0.04247964,-0.16109538
320.3125,0.05451991,-0.14906743
324.21875,0.05541552,-0.11017351
328.125,0.06271987,-0.04225315
332.03125,0.09476578,0.04004296
335.9375,0.10241240,0.11467046
339.84375,0.11779065,0.16689283
343.75,0.09815011,0.19494461
347.65625,0.13021792,0.20267282
351.5625,0.10684802,0.19219692
355.46875,0.12712479,0.16621301
359.375,0.09871677,0.13242620
363.28125,0.08881672,0.09874234
367.1875,0.09285608,0.06302536
371.09375,0.09343687,0.01357185
375.0,0.07369658,-0.05567256
378.90625,0.05543676,-0.13297825
382.8125,0.03748005,-0.19591366
386.71875,0.02860405,-0.23105153
390.625,0.04425354,-0.24556050
394.53125,0.04395841,-0.25862142
398.4375,0.02505000,-0.28293565
402.34375,0.01009331,-0.31688339
406.25,0.03034644,-0.35152233
410.15625,0.00217740,-0.37938106
414.0625,0.00730420,-0.39753273
417.96875,0.02214262,-0.40666768
421.875,-0.01309337,-0.40828553
425.78125,0.01804793,-0.40353745
429.6875,0.00613532,-0.39473414
433.59375,0.01425504,-0.38527879
437.5,0.01189352,-0.37752706
441.40625,0.01491476,-0.37203294
445.3125,0.01984560,-0.36920708
449.21875,-0.00028015,-0.37316623
453.125,0.01967855,-0.39519873
457.03125,-0.00027593,-0.44972381
460.9375,-0.01601496,-0.53978425
464.84375,-0.02995791,-0.63923717
468.75,-0.04046433,-0.68166357
472.65625,-0.01481812,-0.56480199
476.5625,0.05183259,-0.17861898
480.46875,0.17234182,0.54429758
484.375,0.38429859,1.57691276
488.28125,0.60579830,2.77602339
492.1875,0.81664705,3.90791154
496.09375,0.99474931,4.71451235
500.0,1.04107201,4.99836779
503.90625,0.97463799,4.69286633
507.8125,0.81280512,3.88161659
511.71875,0.60655826,2.75696325
515.625,0.37265354,1.54500592
519.53125,0.17391379,0.43677455
523.4375,-0.00731572,-0.45033699
527.34375,-0.10967027,-1.07702351
531.25,-0.17407718,-1.45929801
535.15625,-0.20677711,-1.63417900
539.0625,-0.24766417,-1.63834226
542.96875,-0.18084352,-1.51114559
546.875,-0.15442991,-1.30335736
550.78125,-0.11159924,-1.07107735
554.6875,-0.07270657,-0.86094129
558.59375,-0.03978599,-0.70093888
562.5,-0.01618274,-0.59800506
566.40625,-0.00789483,-0.53951943
570.3125,-0.01624316,-0.50156343
574.21875,0.01113716,-0.46432078
578.125,0.00606805,-0.42465031
