rel_ms,value_mv,normalized
0.0,0.00226864,-0.17408310
3.90625,-0.00615026,-0.26655677
7.8125,-0.00471133,-0.30780184
11.71875,-0.02892947,-0.29382974
15.625,0.02208731,-0.25082159
19.53125,0.01434349,-0.21354941
23.4375,-0.00316893,-0.20090303
27.34375,0.01014444,-0.20987163
31.25,0.00435588,-0.22748052
35.15625,-0.00554197,-0.24350399
39.0625,0.01295722,-0.25480083
42.96875,-0.00237780,-0.26219192
46.875,-0.00247460,-0.26531121
50.78125,-0.00791211,-0.26264420
54.6875,0.00717544,-0.25591245
58.59375,0.00064780,-0.25068054
62.5,0.00850381,-0.25125885
66.40625,-0.00520380,-0.25626409
70.3125,0.00372638,-0.25985581
74.21875,-0.00838092,-0.25730535
78.125,0.01254579,-0.24932069
82.03125,0.00482638,-0.24049281
85.9375,0.00665847,-0.23369855
89.84375,0.00773921,-0.22789672
93.75,-0.00919448,-0.22370507
97.65625,0.01245412,-0.22974274
101.5625,0.02785760,-0.25581208
105.46875,-0.01636305,-0.29540017
109.375,-0.01733370,-0.32290757
113.28125,-0.01451789,-0.31595248
117.1875,0.01375830,-0.27685824
121.09375,0.00532596,-0.22931258
125.0,0.01684192,-0.19851965
128.90625,0.01269126,-0.19542274
132.8125,0.00666909,-0.21395802
136.71875,0.00767066,-0.23934782
140.625,0.00234490,-0.25933021
144.53125,0.01492320,-0.26855665
148.4375,-0.00893543,-0.26591197
152.34375,-0.00032183,-0.25439060
156.25,0.00777487,-0.24427965
160.15625,0.02659560,-0.24746405
164.0625,-0.00407626,-0.26336965
167.96875,-0.00773284,-0.27694106
171.875,-0.00142519,-0.27536300
175.78125,0.01708369,-0.26160899
179.6875,0.00275033,-0.24808878
183.59375,0.02158031,-0.24244094
187.5,-0.01666466,-0.24432418
191.40625,0.01946530,-0.25185022
195.3125,0.01845851,-0.26240283
199.21875,-0.01086700,-0.26727206
203.125,0.00811662,-0.25574249
207.03125,0.02097913,-0.22762798
210.9375,0.00756123,-0.19626175
214.84375,0.01861854,-0.17941025
218.75,0.03523644,-0.18825682
222.65625,0.01014040,-0.21936254
226.5625,0.00360379,-0.25535905
230.46875,-0.00216936,-0.27763617
234.375,0.01497468,-0.27954647
238.28125,0.00495150,-0.26807553
242.1875,0.00528139,-0.25781906
246.09375,0.00627703,-0.26428616
250.0,0.01545210,-0.29413506
