rel_ms,value_mv,normalized
0.0,0.00414701,-0.19559148
3.90625,0.00998214,-0.28794494
7.8125,0.00421068,-0.34539834
11.71875,-0.01526975,-0.36149707
15.625,0.01135509,-0.34995267
19.53125,0.00596999,-0.33159736
23.4375,-0.00570729,-0.31915435
27.34375,0.00783218,-0.31383720
31.25,0.00535622,-0.31334093
35.15625,0.00463349,-0.31804752
39.0625,0.00156748,-0.32982093
42.96875,0.00790943,-0.34693283
46.875,-0.00736616,-0.36103109
50.78125,-0.00036127,-0.36263734
54.6875,-0.00406949,-0.35265449
58.59375,0.00902433,-0.34510747
62.5,0.00243701,-0.35323802
66.40625,-0.00142705,-0.37302867
70.3125,-0.00717846,-0.38456202
74.21875,-0.00075993,-0.37151831
78.125,0.00254592,-0.33907005
82.03125,-0.00073727,-0.31382704
85.9375,0.01822038,-0.32460395
89.84375,0.01489386,-0.37541085
93.75,-0.02959934,-0.43505335
97.65625,-0.01961222,-0.46140486
101.5625,0.00107990,-0.43848574
105.46875,-0.00176802,-0.38558251
109.375,0.00598295,-0.33524561
113.28125,0.00614795,-0.30913714
117.1875,0.02907486,-0.30734137
121.09375,-0.00956288,-0.31208816
125.0,-0.00062945,-0.30695191
128.90625,0.02853535,-0.29649335
132.8125,0.01190266,-0.30069745
136.71875,0.01221897,-0.32943207
140.625,-0.00178605,-0.36990881
144.53125,-0.01527522,-0.40061706
148.4375,0.00663074,-0.41215682
152.34375,0.00604864,-0.41114810
156.25,-0.00986862,-0.40776438
160.15625,-0.00322017,-0.40606430
164.0625,0.00423279,-0.40459582
167.96875,-0.00612114,-0.39984888
171.875,0.00415502,-0.38953844
175.78125,0.00659822,-0.37509099
179.6875,0.00599743,-0.35975221
183.59375,-0.00038735,-0.34571281
187.5,0.01293067,-0.33589196
191.40625,0.01661702,-0.33488879
195.3125,0.00989030,-0.34359342
199.21875,-0.00366177,-0.35576236
203.125,0.01505346,-0.36369506
207.03125,0.00037276,-0.36518750
210.9375,0.01705613,-0.36364275
214.84375,-0.00623932,-0.36466244
218.75,0.01771140,-0.37278733
222.65625,0.00661245,-0.38687882
226.5625,-0.00801661,-0.39868084
230.46875,0.00331648,-0.40161601
234.375,0.00784713,-0.40023544
238.28125,0.01058576,-0.40420333
242.1875,-0.00435991,-0.41371435
246.09375,-0.00574833,-0.41799191
250.0,0.01004868,-0.40908366
253.90625,0.00216591,-0.39207858
257.8125,0.01070591,-0.37971914
261.71875,0.01710673,-0.37844086
265.625,-0.01168060,-0.38228250
269.53125,0.01126957,-0.38247970
273.4375,0.02302447,-0.37820333
277.34375,0.00486991,-0.37250534
281.25,-0.00117821,-0.36512420
285.15625,0.01768972,-0.35757214
289.0625,0.01181547,-0.35877150
292.96875,0.01963643,-0.37634611
296.875,0.00485596,-0.40363130
300.78125,-0.00866858,-0.42209825
304.6875,0.00791140,-0.42004955
308.59375,0.00400610,-0.40629923
312.5,0.01879480,-0.40098399
316.40625,0.01196614,-0.41224265
320.3125,-0.00974969,-0.42627388
324.21875,-0.00430319,-0.42453220
328.125,0.02092270,-0.40620396
332.03125,0.01884059,-0.38569918
335.9375,0.00349133,-0.37205824
339.84375,0.01182528,-0.36123425
343.75,0.01808172,-0.34686494
347.65625,0.01955959,-0.32963276
351.5625,0.02605031,-0.31525850
355.46875,0.02069822,-0.30800033
359.375,0.01915633,-0.30744886
363.28125,0.02054928,-0.30930182
367.1875,0.04045946,-0.30632666
371.09375,0.00575239,-0.29004756
375.0,0.03693462,-0.25631252
378.90625,0.04567168,-0.20788488
382.8125,0.03560761,-0.14790393
386.71875,0.06475091,-0.07516845
390.625,0.06137772,0.01034501
394.53125,0.08808658,0.10134258
398.4375,0.08454902,0.18462580
402.34375,0.10181512,0.24647681
406.25,0.11518112,0.27914798
410.15625,0.11061475,0.28781927
414.0625,0.09937832,0.28925058
417.96875,0.09377304,0.29591557
421.875,0.13312128,0.30271465
425.78125,0.10895663,0.29647565
429.6875,0.09842482,0.27413672
433.59375,0.10320672,0.24203300
437.5,0.09264868,0.20167354
441.40625,0.09766736,0.14712510
445.3125,0.07974017,0.07692993
449.21875,0.07114997,0.00165315
453.125,0.05415762,-0.06403789
457.03125,0.06049541,-0.11499526
460.9375,0.03518394,-0.15986875
464.84375,0.04906495,-0.21241868
468.75,0.05368464,-0.27532661
472.65625,0.01228805,-0.33079404
476.5625,-0.00298480,-0.35625422
480.46875,0.03081501,-0.35375682
484.375,0.05148071,-0.35121986
488.28125,0.00698113,-0.36992687
492.1875,0.00256232,-0.40454903
496.09375,0.02361302,-0.43686688
500.0,0.00574146,-0.45374554
503.90625,0.00927843,-0.45103359
507.8125,0.01086865,-0.43391669
511.71875,0.02125116,-0.41590825
515.625,0.00991136,-0.41040489
519.53125,0.01807017,-0.42133716
523.4375,0.01258960,-0.44236332
527.34375,0.00448147,-0.46362439
531.25,0.01046340,-0.47963080
535.15625,0.00201725,-0.49217990
539.0625,0.01145727,-0.50618958
542.96875,-0.00616540,-0.52500671
546.875,-0.01267016,-0.55309415
550.78125,0.00824209,-0.59880978
554.6875,-0.02036717,-0.66175741
558.59375,-0.02651441,-0.71009606
562.5,-0.01296952,-0.67262834
566.40625,0.00607532,-0.45826897
570.3125,0.07169211,0.00747517
574.21875,0.18091398,0.75125700
578.125,0.31625962,1.74262059
582.03125,0.46111652,2.90153289
585.9375,0.65484005,4.10860920
589.84375,0.79385322,5.21950912
593.75,0.90919006,6.08868742
597.65625,0.97931284,6.59376812
601.5625,0.99103165,6.65411520
605.46875,0.95782727,6.24961758
609.375,0.81293386,5.43695736
613.28125,0.68016595,4.34324694
617.1875,0.48571768,3.12667418
621.09375,0.34483191,1.92611349
625.0,0.20380262,0.83551300
628.90625,0.06192340,-0.08797682
632.8125,-0.04356433,-0.80947787
636.71875,-0.10639426,-1.31804955
640.625,-0.14839518,-1.63280511
644.53125,-0.17409691,-1.79453051
648.4375,-0.16495766,-1.84564996
652.34375,-0.17790881,-1.81412518
656.25,-0.16862129,-1.71261847
660.15625,-0.13748699,-1.55124128
664.0625,-0.10846005,-1.34997618
667.96875,-0.07823187,-1.13968086
671.875,-0.05450139,-0.95226645
675.78125,-0.03068620,-0.80676496
679.6875,-0.03596974,-0.70162278
683.59375,0.00657943,-0.62084818
687.5,-0.00140921,-0.54826719
