rel_ms,value_mv,normalized
0.0,-0.02085920,-0.16912064
3.90625,-0.01591700,-0.23119462
7.8125,-0.01608785,-0.26255652
11.71875,-0.00385127,-0.26518324
15.625,-0.02726015,-0.24686846
19.53125,-0.00165327,-0.21389291
23.4375,-0.01075061,-0.17300744
27.34375,0.01158197,-0.13415466
31.25,0.01246352,-0.10794594
35.15625,0.01781100,-0.09961875
39.0625,0.01043606,-0.10527909
42.96875,0.00071252,-0.11571872
46.875,0.01178882,-0.12477110
50.78125,0.01965942,-0.13185115
54.6875,-0.00612719,-0.13700058
58.59375,0.00916239,-0.13908826
62.5,0.00144826,-0.14002731
66.40625,0.01936263,-0.14467722
70.3125,-0.00783830,-0.15430865
74.21875,-0.00129219,-0.16485952
78.125,0.00679628,-0.17280984
82.03125,0.00566729,-0.17802204
85.9375,-0.01698176,-0.18050952
89.84375,0.00713503,-0.17923717
93.75,0.00151264,-0.17442903
97.65625,0.00017897,-0.16846530
101.5625,0.00131354,-0.16495484
105.46875,0.00592592,-0.16736722
109.375,-0.01837751,-0.17751631
113.28125,0.02216968,-0.19354334
117.1875,-0.00667650,-0.20669381
121.09375,-0.02311504,-0.20303485
125.0,0.00291811,-0.17568889
128.90625,0.02151186,-0.13513789
132.8125,-0.00208098,-0.10393190
136.71875,0.02287751,-0.10214840
140.625,0.02306533,-0.13375780
144.53125,-0.00585110,-0.18019459
148.4375,-0.02496029,-0.21246390
152.34375,-0.01008172,-0.21772964
156.25,0.01910879,-0.20949845
160.15625,-0.00482271,-0.20648172
164.0625,-0.01303082,-0.20893015
167.96875,-0.01083645,-0.20241176
171.875,0.00533642,-0.17878436
175.78125,0.00513913,-0.14694469
179.6875,0.01603493,-0.12553892
183.59375,0.01755675,-0.12787640
187.5,-0.00538129,-0.15184180
191.40625,0.00404191,-0.18266165
195.3125,-0.00756710,-0.20468432
199.21875,0.00701968,-0.20957522
203.125,-0.00753366,-0.19582327
207.03125,-0.00801298,-0.16640407
210.9375,0.03198727,-0.12865172
214.84375,0.00701079,-0.09300596
218.75,0.01445594,-0.07089669
222.65625,0.03731040,-0.07216796
226.5625,0.01639844,-0.09764531
230.46875,0.00571356,-0.13286510
234.375,0.00785298,-0.15599844
238.28125,-0.00162164,-0.15534626
242.1875,0.02055841,-0.13817227
246.09375,0.00357680,-0.12315347
250.0,0.02880662,-0.12432437
253.90625,0.00362980,-0.13971914
257.8125,0.00363637,-0.15430039
261.71875,0.00295996,-0.15508826
265.625,0.01561315,-0.14318801
269.53125,0.01046010,-0.13006096
273.4375,0.02478578,-0.12368224
277.34375,0.00179981,-0.12126747
281.25,0.01203396,-0.11595934
285.15625,0.03191742,-0.10676378
289.0625,0.00588774,-0.09931582
292.96875,0.01527377,-0.10092419
296.875,0.02785469,-0.11628810
300.78125,0.01574248,-0.14137046
304.6875,0.00159455,-0.16044895
308.59375,-0.01543660,-0.15782247
312.5,0.03811936,-0.13470843
316.40625,0.01461827,-0.10812336
320.3125,0.02454009,-0.09340615
324.21875,0.00343868,-0.09463893
328.125,0.03025637,-0.11004058
332.03125,0.01307737,-0.13751593
335.9375,0.00438324,-0.17428672
339.84375,-0.01223587,-0.21851885
343.75,-0.00480045,-0.27279031
347.65625,-0.02517641,-0.33962387
351.5625,-0.03270974,-0.40994000
355.46875,-0.05701714,-0.45763651
359.375,-0.04187106,-0.44600189
363.28125,-0.01618081,-0.33766273
367.1875,0.00806168,-0.10184211
371.09375,0.09291571,0.27790886
375.0,0.19677876,0.79603493
378.90625,0.30428287,1.42298281
382.8125,0.43130210,2.10706878
386.71875,0.55939925,2.77704763
390.625,0.68802422,3.35154772
394.53125,0.73605758,3.75731492
398.4375,0.78643399,3.94460726
402.34375,0.77389556,3.89218569
406.25,0.72443628,3.60735965
410.15625,0.62763208,3.12388968
414.0625,0.49400344,2.49373245
417.96875,0.39665163,1.77683663
421.875,0.23791388,1.03807688
425.78125,0.09263058,0.34459931
429.6875,-0.01218809,-0.24950215
433.59375,-0.08960588,-0.72076166
437.5,-0.15059964,-1.07412136
441.40625,-0.22013927,-1.32344222
445.3125,-0.22281079,-1.47651482
449.21875,-0.25932750,-1.53571498
453.125,-0.25115314,-1.50960922
457.03125,-0.22037211,-1.42247963
460.9375,-0.19209263,-1.30781198
464.84375,-0.19072101,-1.18947899
468.75,-0.16801852,-1.07239938
472.65625,-0.12286735,-0.95095217
476.5625,-0.12534757,-0.82134104
480.46875,-0.08527086,-0.68751401
484.375,-0.06439812,-0.56089771
488.28125,-0.03656677,-0.45445120
492.1875,-0.02960383,-0.37458125
496.09375,-0.02382696,-0.31870911
500.0,-0.00338109,-0.27998450
503.90625,-0.01673124,-0.25290361
507.8125,0.01216064,-0.23461142
511.71875,-0.00162608,-0.22184929
515.625,-0.00161775,-0.20861034
519.53125,0.00686761,-0.18949910
523.4375,0.01316533,-0.16506606
527.34375,0.02202920,-0.14142559
531.25,0.01153825,-0.12515129
