rel_ms,value_counts
0,1170
10,1164
20,1148
30,1181
40,1175
50,1176
60,1196
70,1210
80,1224
90,1204
100,1192
110,1202
120,1173
130,1166
140,1176
150,1195
160,1201
170,1216
180,1206
190,1218
200,1220
210,1216
220,1230
230,1210
240,1203
250,1203
260,1196
270,1202
280,1208
290,1231
300,1237
310,1248
320,1240
330,1233
340,1226
350,1219
360,1222
370,1232
380,1211
390,1224
400,1236
410,1192
420,1207
430,1195
440,1190
450,1209
460,1216
470,1219
480,1225
490,1243
500,1225
510,1227
520,1236
530,1238
540,1222
550,1221
560,1237
570,1242
580,1275
590,1263
600,1216
610,1227
620,1251
630,1198
640,1219
650,1237
660,1227
670,1239
680,1241
690,1250
700,1236
710,1225
720,1241
730,1268
740,1264
750,1221
760,1235
770,1229
780,1248
790,1231
800,1243
810,1219
820,1254
830,1244
840,1233
850,1252
860,1260
870,1244
880,1216
890,1225
900,1222
910,1209
920,1242
930,1254
940,1218
950,1251
960,1236
970,1227
980,1233
990,1234
1000,1227
1010,1233
1020,1245
1030,1256
1040,1258
1050,1258
1060,1249
1070,1218
1080,1229
1090,1254
1100,1244
1110,1268
1120,1260
1130,1256
1140,1244
1150,1233
1160,1230
1170,1216
1180,1248
1190,1237
1200,1254
1210,1232
1220,1215
1230,1233
1240,1242
1250,1254
1260,1255
1270,1227
1280,1233
1290,1228
1300,1217
1310,1241
1320,1271
1330,1249
1340,1255
1350,1255
1360,1234
1370,1254
1380,1271
1390,1223
1400,1244
1410,1261
1420,1221
1430,1240
1440,1250
1450,1250
1460,1263
1470,1263
1480,1267
1490,1254
1500,1267
1510,1268
1520,1273
1530,1263
1540,1236
1550,1258
1560,1238
1570,1224
1580,1247
1590,1242
1600,1270
1610,1233
1620,1254
1630,1262
1640,1262
1650,1238
1660,1216
1670,1197
1680,1186
1690,1192
1700,1193
1710,1244
1720,1258
1730,1209
1740,1278
1750,1315
1760,1291
1770,1261
1780,1240
1790,1237
1800,1198
1810,1201
1820,1196
1830,1180
1840,1236
1850,1246
1860,1287
1870,1325
1880,1293
1890,1268
1900,1236
1910,1233
1920,1228
1930,1239
1940,1239
1950,1237
1960,1233
1970,1258
1980,1256
1990,1265
2000,1295
2010,1272
2020,1281
2030,1262
2040,1230
2050,1258
2060,1248
2070,1228
2080,1245
2090,1254
2100,1253
2110,1292
2120,1319
2130,1265
2140,1268
2150,1242
2160,1242
2170,1272
2180,1271
2190,1264
2200,1272
2210,1273
2220,1263
2230,1264
2240,1264
2250,1242
2260,1219
2270,1225
2280,1250
2290,1258
2300,1274
2310,1283
2320,1292
2330,1275
2340,1278
2350,1263
2360,1248
2370,1237
2380,1241
2390,1243
