rel_ms,value_mv,normalized
0.0,0.01263739,-0.18505660
3.90625,0.02144061,-0.32224852
7.8125,-0.03039407,-0.39898407
11.71875,-0.00128745,-0.40047237
15.625,0.01265546,-0.35327926
19.53125,0.01683920,-0.30100879
23.4375,0.00858160,-0.27399972
27.34375,0.01882418,-0.27870947
31.25,0.00446084,-0.30638957
35.15625,0.00771911,-0.34449211
39.0625,0.00337127,-0.38102102
42.96875,-0.01153743,-0.40435988
46.875,-0.00868826,-0.40536177
50.78125,0.00614866,-0.38204703
54.6875,-0.00524640,-0.34180418
58.59375,0.01709680,-0.29965273
62.5,0.01746898,-0.27305874
66.40625,0.02366787,-0.27326146
70.3125,0.00189156,-0.29834965
74.21875,0.01893089,-0.33462274
78.125,-0.00842190,-0.36558643
82.03125,-0.00722581,-0.38332954
85.9375,0.00366725,-0.39364991
89.84375,0.00619033,-0.40639821
93.75,-0.01625325,-0.41969961
97.65625,-0.01771275,-0.41993347
101.5625,0.00743810,-0.39884844
105.46875,-0.00704799,-0.36478913
109.375,0.01791952,-0.33519876
113.28125,0.00827464,-0.32110789
117.1875,0.00734701,-0.32002655
121.09375,0.00628268,-0.32280234
125.0,0.01464751,-0.32511657
128.90625,0.00218554,-0.33050716
132.8125,0.01716980,-0.34326524
136.71875,-0.00204877,-0.36054823
140.625,0.00168205,-0.37295207
144.53125,-0.00366438,-0.37334749
148.4375,0.01179310,-0.36349362
152.34375,0.00517108,-0.35093355
156.25,-0.00548760,-0.34190553
160.15625,0.02900111,-0.33769235
164.0625,0.00073274,-0.33418936
167.96875,0.00382028,-0.32601067
171.875,0.01006423,-0.31503952
175.78125,0.02642424,-0.31167218
179.6875,0.00378979,-0.32318148
183.59375,0.01412635,-0.34364191
187.5,0.00699124,-0.35806406
191.40625,-0.01164251,-0.35629061
195.3125,0.01554385,-0.34400454
199.21875,0.01840467,-0.33930266
203.125,0.00339380,-0.35568547
207.03125,0.00620481,-0.38841134
210.9375,-0.01150957,-0.41775095
214.84375,-0.01165325,-0.42511940
218.75,0.00203966,-0.40742126
222.65625,0.01436465,-0.37681818
226.5625,0.00133399,-0.34793910
230.46875,0.01058863,-0.32790670
234.375,0.01881337,-0.31705621
238.28125,0.00846602,-0.31425807
242.1875,0.01432912,-0.32022238
246.09375,0.02493237,-0.33613247
250.0,-0.00726512,-0.35867974
253.90625,0.01675771,-0.37863761
257.8125,-0.01462487,-0.38750643
261.71875,0.01336818,-0.38560602
265.625,0.01087693,-0.38125244
269.53125,0.00225955,-0.38095972
273.4375,-0.00367999,-0.38293013
277.34375,0.00916328,-0.38126564
281.25,0.00590766,-0.37331423
285.15625,0.01329379,-0.36149547
289.0625,0.00300543,-0.35003448
292.96875,0.02284091,-0.33995017
296.875,0.00701992,-0.32609403
300.78125,0.01985018,-0.30128634
304.6875,0.02385498,-0.26480466
308.59375,0.04990471,-0.22312589
312.5,0.02394486,-0.18131895
316.40625,0.04510969,-0.13897325
320.3125,0.07324020,-0.09434095
324.21875,0.06060918,-0.04607305
328.125,0.06317838,0.00739002
332.03125,0.09059494,0.06411643
335.9375,0.09195804,0.11720744
339.84375,0.11227301,0.16139647
343.75,0.09616069,0.19748229
347.65625,0.11223966,0.22605333
351.5625,0.11829020,0.24008547
355.46875,0.12066055,0.22891051
359.375,0.09063646,0.18822016
363.28125,0.11472799,0.12365440
367.1875,0.07905030,0.04821805
371.09375,0.06290883,-0.02214498
375.0,0.06030964,-0.07566061
378.90625,0.06432129,-0.11041984
382.8125,0.04971327,-0.13286717
386.71875,0.05070776,-0.15264200
390.625,0.04416859,-0.17864875
394.53125,0.03589959,-0.21620427
398.4375,0.02396720,-0.26570699
402.34375,0.04475462,-0.32247633
406.25,-0.00672246,-0.37711942
410.15625,-0.00327006,-0.42043504
414.0625,0.00977838,-0.45045045
417.96875,-0.00037220,-0.47056755
421.875,-0.01676279,-0.48134050
425.78125,0.00387067,-0.47860658
429.6875,0.00412387,-0.45750502
433.59375,-0.01643891,-0.41740039
437.5,0.02310625,-0.36843833
441.40625,0.02807873,-0.33214670
445.3125,0.02632715,-0.32906106
449.21875,0.00272020,-0.36669964
453.125,0.00439812,-0.44160879
457.03125,-0.02243878,-0.54623371
460.9375,-0.02366250,-0.66503078
464.84375,-0.05202638,-0.76027173
468.75,-0.04499679,-0.76139039
472.65625,-0.02906273,-0.57182992
476.5625,0.06333055,-0.09795518
480.46875,0.19938241,0.70879972
484.375,0.40078646,1.81416166
488.28125,0.59576893,3.08291698
492.1875,0.81188464,4.29032850
496.09375,0.99650478,5.17205906
500.0,1.04096866,5.50835609
503.90625,0.99176955,5.20683622
507.8125,0.82890773,4.33668423
511.71875,0.60549986,3.09679723
515.625,0.37938052,1.73981977
519.53125,0.16472371,0.49205461
523.4375,-0.00147939,-0.49864382
527.34375,-0.13289818,-1.17687511
531.25,-0.17020838,-1.56179643
535.15625,-0.21905974,-1.71117496
539.0625,-0.20599593,-1.68838978
542.96875,-0.19166291,-1.54927218
546.875,-0.14327297,-1.34469831
550.78125,-0.11484207,-1.12210643
554.6875,-0.07454997,-0.91889012
558.59375,-0.04272532,-0.75449598
562.5,-0.02851987,-0.63024694
566.40625,-0.01045207,-0.53827447
570.3125,0.00481308,-0.47123566
574.21875,0.01104036,-0.42456725
578.125,0.00392050,-0.39389169
582.03125,0.04587676,-0.37352630
585.9375,0.00707983,-0.35690257
589.84375,0.01623791,-0.33996657
593.75,0.05032020,-0.32514098
597.65625,0.01425103,-0.31865126
601.5625,0.03273378,-0.32446563
605.46875,0.03307470,-0.34205320
609.375,0.02451134,-0.36481863
613.28125,0.01202064,-0.38006556
617.1875,0.01302406,-0.37742829
621.09375,0.03442698,-0.35794610
625.0,0.04283987,-0.32955912
628.90625,0.01562865,-0.29601446
632.8125,0.04752890,-0.25724033
